,Username,Followers,Likes,Plays,Reposts,Comments
311,[' ppgcasper '],[9336],[1806],[100825],[150],[44]
312,[' mixed matches '],[6638],[568],[34769],[38],[20]
313,[' mixed matches '],[6638],[719],[43016],[55],[19]
314,[' Never Say Die Black Label '],[95664],[2416],[43757],[405],[27]
315,[' Never Say Die Black Label '],[95664],[3592],[69479],[569],[51]
316,[' Never Say Die Black Label '],[95664],[2928],[50694],[510],[42]
317,[' Never Say Die Black Label '],[95664],[1280],[23997],[224],[35]
318,[' SKI MASK THE SLUMP GOD '],[1142016],[57755],[3527274],[2750],[260]
319,[' SKI MASK THE SLUMP GOD '],[1142016],[77246],[4097198],[5460],[320]
320,[' SKI MASK THE SLUMP GOD '],[1142016],[79353],[4716952],[4147],[442]
321,['Wipe by SKI MASK THE SLUMP GOD '],[1142016],[530600],[37460762],[26080],[4200]
322,[' SKI MASK THE SLUMP GOD '],[1142016],[68087],[4788805],[5489],[865]
323,[' SKI MASK THE SLUMP GOD '],[1142016],[71006],[4427238],[4879],[445]
324,[' SKI MASK THE SLUMP GOD '],[1142016],[41345],[2647288],[2889],[298]
325,[' SKI MASK THE SLUMP GOD '],[1142016],[28093],[1664344],[1302],[147]
326,[' SKI MASK THE SLUMP GOD '],[1142016],[28265],[1766755],[1648],[157]
327,[' SKI MASK THE SLUMP GOD '],[1142016],[166144],[10531780],[9157],[1959]
328,[' TWONK '],[41271],[4917],[108767],[908],[38]
329,[' TWONK '],[41271],[2948],[65335],[567],[36]
330,[' TWONK '],[41271],[2458],[58424],[431],[20]
331,[' TWONK '],[41271],[2033],[49959],[353],[26]
332,[' JNTHN STEIN '],[33266],[1710],[68600],[265],[44]
333,[' JNTHN STEIN '],[33266],[12230],[473330],[2110],[210]
334,[' JNTHN STEIN '],[33266],[1543],[58550],[218],[35]
335,[' LIL UZI VERT '],[2277985],[295794],[25543278],[17392],[1366]
336,[' Maaly Raw] by LIL UZI VERT '],[2277984],[362806],[30935972],[19792],[1882]
337,[' LIL UZI VERT '],[2277985],[1808286],[15745556],[112554],[19414]
338,[' Don Cannon / Co Produced By CuBeatz] by LIL UZI VERT '],[2277985],[315707],[27501356],[18660],[1363]
339,[' LIL UZI VERT '],[2277985],[1616600],[13431239],[92412],[15537]
340,[' Are You Home [Produced By Metro Boomin] by LIL UZI VERT '],[2277985],[304096],[25648325],[18536],[1331]
341,[' LIL UZI VERT '],[2277985],[936507],[79798738],[53912],[6919]
342,[' Don Cannon And Lyle LeDuff] by LIL UZI VERT '],[2277985],[225969],[21560770],[12094],[953]
343,[' LIL UZI VERT '],[2277985],[158882],[14701724],[10062],[861]
344,[' Dion Timmer '],[91553],[10216],[319986],[1787],[146]
345,[' Dion Timmer '],[91553],[5913],[216925],[1192],[89]
346,[' Dion Timmer '],[91553],[6198],[211094],[1096],[70]
347,[' Dion Timmer '],[91553],[5807],[172211],[1055],[94]
348,[' Dion Timmer '],[91553],[7599],[223194],[1567],[107]
349,[' Travis Scott '],[1687241],[283258],[22202285],[19889],[1674]
350,[' Travis Scott '],[1687241],[552159],[40371781],[45297],[2390]
351,[' Travis Scott '],[1687241],[173082],[16729809],[12192],[1299]
352,[' Travis Scott '],[1687241],[1037646],[79783487],[87815],[6772]
353,[' Travis Scott '],[1687241],[206304],[18973323],[16221],[942]
354,[' Travis Scott '],[1687241],[440641],[33191677],[30631],[1972]
355,[' Travis Scott '],[1687241],[90713],[10064684],[5701],[524]
356,[' Travis Scott '],[1687241],[428874],[29561469],[36093],[1769]
357,[' Travis Scott '],[1687241],[109045],[10989645],[7950],[630]
358,[' Travis Scott '],[1687241],[203238],[15838131],[15746],[1135]
359,[' Travis Scott '],[1687241],[175108],[12840073],[13690],[723]
360,[' Travis Scott '],[1687241],[61763],[6046125],[4051],[277]
361,[' Gallant '],[114620],[3507],[311775],[733],[57]
362,[' Gallant '],[114620],[9528],[573541],[2203],[135]
363,[' Gallant '],[114620],[2237],[178824],[439],[24]
364,[' Gallant '],[114620],[4488],[354221],[982],[61]
365,[' Gallant '],[114620],[4427],[389244],[877],[77]
366,[' Fat Nick '],[208387],[32494],[2190975],[2935],[109]
367,[' Fat Nick '],[208387],[13263],[988256],[1199],[34]
368,[' Fat Nick '],[208387],[14318],[947013],[1645],[91]
369,[' Fat Nick '],[208387],[9807],[760010],[921],[30]
370,[' Fat Nick '],[208387],[9151],[681388],[719],[17]
371,[' Ft. Shakewell & Mikey The Magician (Prod.Mikey The Magician) by Fat Nick '],[208387],[11581],[883401],[1183],[50]
372,[' Fat Nick '],[208387],[162595],[13804285],[10973],[1188]
373,[' Fat Nick '],[208387],[12105],[805901],[1240],[58]
374,[' Fat Nick '],[208387],[10322],[758586],[943],[48]
375,[' Fat Nick '],[208387],[201317],[20953018],[9290],[2189]
376,[' Fat Nick '],[208387],[6077],[540784],[468],[16]
377,[' Fat Nick '],[208387],[5403],[474146],[454],[18]
378,[' Fat Nick '],[208387],[25838],[1603276],[3486],[164]
379,[' Fat Nick '],[208387],[15618],[1166527],[1412],[63]
380,[' Fat Nick '],[208387],[30898],[1874297],[3084],[233]
381,[' Akachi '],[3639],[1361],[97749],[96],[11]
382,[' CHXPO SOICY '],[56314],[560],[37536],[46],[6]
383,[' Soulja Boy '],[76513],[3127],[159135],[437],[64]
384,[' Soulja Boy '],[76513],[1927],[114147],[176],[13]
385,[' Wade) by Joe Moses '],[8913],[580],[41006],[39],[3]
386,[' SODMG '],[5248],[10415],[875517],[936],[53]
387,[' Akachi '],[3639],[219],[14588],[15],[1]
388,[' ManeMane4CGG '],[5732],[1425],[80182],[179],[6]
389,[' AGoff Tha Hitman '],[11427],[1645],[84488],[188],[19]
390,[' GloGangTwins '],[4280],[85],[7454],[16],[6]
391,[' CHXPO SOICY '],[56314],[388],[18354],[30],[1]
392,[' ION USE THIS SHIT NOMO '],[722],[725],[36874],[61],[7]
393,[' Big E '],[6626],[9922],[469598],[1220],[18]
394,[' CHXPO SOICY '],[56314],[562],[24713],[67],[2]
395,[' CHXPO SOICY '],[56314],[558],[31250],[53],[8]
396,[' BoogieFTS '],[3302],[324],[24911],[75],[1]
397,[' smokepurpp '],[618201],[79688],[4530853],[7431],[443]
398,[' DiAmond Miller '],[7101],[1194],[77763],[162],[19]
399,[' CHXPO SOICY '],[56314],[600],[31200],[65],[9]
400,[' Plugged Soundz '],[255982],[49661],[2587627],[4232],[289]
401,[' Spaceli Vietnam '],[4490],[180],[9765],[18],[1]
402,[' Gnealz '],[4826],[4190],[193405],[492],[11]
403,[' Akachi '],[3639],[1123],[56710],[109],[9]
404,[' Akachi '],[3639],[441],[20929],[57],[1]
405,"["" Rugaa x AkachiBeats) by BIG PAPA SLIM' ""]",[25535],[429],[23559],[46],[4]
406,"["" KingHenryy x MAX P) by BIG PAPA SLIM' ""]",[25535],[258],[13085],[25],[2]
407,"["" AkachiBeats x Gnealz) by BIG PAPA SLIM' ""]",[25535],[302],[11766],[23],[2]
408,[' Akachi Beats) by 458 KEEZ '],[4013],[610],[27281],[70],[3]
409,[' Akachi '],[3639],[560],[21708],[80],[3]
410,[' YEAR0001 '],[7623],[49776],[2552358],[5182],[358]
411,[' Gnealz '],[4826],[11003],[423092],[1608],[83]
412,[' Akachi '],[3639],[1371],[52080],[176],[1]
413,[' Lite Fortunato '],[9352],[1123],[53933],[110],[6]
414,['. 6Silky x Akachi) by Lil $ega '],[3190],[685],[34411],[89],[6]
415,[' Mikey Dinero '],[988],[975],[40675],[169],[20]
416,[' Lil Wop17 '],[60203],[3976],[229707],[203],[9]
417,[' COSMIC BEATS '],[11228],[217],[8053],[42],[7]
418,[' 458 KEEZ '],[4013],[1280],[91138],[135],[7]
419,[' Sprinter Boyz '],[214],[2676],[137394],[245],[10]
420,[' ChrisTravis '],[280966],[5438],[319496],[484],[12]
421,[' Akachi '],[3639],[1085],[54950],[84],[6]
422,[' k$upreme '],[80516],[7259],[420382],[490],[34]
423,[' k$upreme '],[80516],[6043],[361488],[423],[31]
424,[' Leaders Of The New Trap Sound '],[1034],[169],[9393],[21],[2]
425,[' Akachi '],[3639],[1969],[119037],[149],[12]
426,[' Akachi '],[3639],[687],[33011],[57],[4]
